UF;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_REGISTRO;CPF_CNPJ;RAZAO_SOCIAL;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO;CARACTERISTICA_ADICIONAL
SP;Quintana;SP0036307;Ativo;**.***.101/***-**;RODRIGUES TONUS & TONUS IMPORTAÇÃO E EXPORTAÇÃO LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Quintana;SP0048593;Ativo;**.***.317/***-**;AMENDOMARI COMERCIO IMPORTAÇÃO E EXP. DE CEREAIS LTDA-ME;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Quintana;SP0098370;Ativo;**.***.106/***-**;CEREALISTA AGROVIERI LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Quintana;SP0098370;Ativo;**.***.106/***-**;CEREALISTA AGROVIERI LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
CE;Quixelô;CE0011525;Ativo;***.***.862-**;LUIZA CHIQUITA PEREIRA;QUALIDADE VEGETAL;EMBALADOR;;
CE;Quixelô;CE0011380;Ativo;***.***.975-**;Francisco Alexandre Pereira;QUALIDADE VEGETAL;EMBALADOR;;
CE;Quixelô;CE0011533;Ativo;***.***.946-**;LUIS JOSE PEREIRA;QUALIDADE VEGETAL;BENEFICIADOR;;
CE;Quixelô;CE0011517;Ativo;***.***.574-**;BRUNO ELOIO ALVES PEREIRA;QUALIDADE VEGETAL;CONSOLIDADOR;;
SP;Rancharia;SP0061050;Ativo;**.***.784/***-**;COMERCIO DE OLEOS MARTANI LTDA;QUALIDADE VEGETAL;PRODUTOR;;
SP;Rancharia;SP0079103;Ativo;**.***.236/***-**;COMGROUP AGROINDUSTRIAL LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Rancharia;SP0079103;Ativo;**.***.236/***-**;COMGROUP AGROINDUSTRIAL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Realeza;PR0012130;Ativo;**.***.174/***-**;Biorgânica Produtos Orgânicos Ltda;QUALIDADE VEGETAL;EMBALADOR;;
PR;Realeza;PR0012122;Ativo;**.***.174/***-**;BIORGÂNICA COMÉRCIO DE PRODUTOS ORGÂNICOS LTDA (FILIAL FECULARIA SUBIDA);QUALIDADE VEGETAL;EMBALADOR;;
PE;Recife;RN0008052;Ativo;**.***.897/***-**;Chef Mediterrâneo Importação Exportação Ltda;QUALIDADE VEGETAL;IMPORTADOR;;
PE;Recife;PE0010324;Ativo;**.***.272/***-**;G&D COMERCIAL LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
PE;Recife;PE0007200;Ativo;**.***.074/***-**;FERNANDO & SILVA LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
PE;Recife;PE0010944;Ativo;**.***.830/***-**;QUALLY TRADING - ATACADISTA DE ALIMENTOS, IMPORTACAO EXPORTACAO LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
PE;Recife;RJ0020974;Ativo;**.***.426/***-**;BTG PACTUAL COMMODITIES SERTRADING S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PA;Redenção;PA0003816;Cancelado;**.***.785/***-**;Agrex do Brasil Ltda.;QUALIDADE VEGETAL;EXPORTADOR;;
RJ;Resende;RJ0020265;Ativo;**.***.228/***-**;OURO SAFRA S/A;QUALIDADE VEGETAL;EXPORTADOR;;
RS;Restinga Seca;RS0066664;Ativo;**.***.684/***-**;JOAO VALMOR M DA SILVA & FILHOS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
RS;Restinga Seca;RS0041513;Ativo;**.***.346/***-**;COOPERATIVA TRITICOLA SEPEENSE LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
BA;Riachão das Neves;BA0008796;Ativo;**.***.101/***-**;Bunge Alimentos S/A;QUALIDADE VEGETAL;EXPORTADOR;;
BA;Riachão das Neves;BA0020664;Ativo;***.***.414-**;PAULO ALMEIDA SCHMIDT;QUALIDADE VEGETAL;BENEFICIADOR;;
GO;Rialma;GO0024473;Ativo;**.***.646/***-**;CAFE OURO RICO LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
GO;Rialma;GO0024465;Ativo;**.***.917/***-**;CAFE FUTURO LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PR;Ribeirão Claro;PR0043761;Ativo;**.***.680/***-**;A H VITA LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Ribeirão Corrente;SP0095672;Ativo;**.***.754/***-**;BELA ÉPOCA COFFEES;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Ribeirão Corrente;SP0071145;Ativo;**.***.042/***-**;LA SANTE TORREFACAO DE CAFE LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Ribeirão Corrente;SP0071145;Ativo;**.***.042/***-**;LA SANTE TORREFACAO DE CAFE LTDA;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;CLASSIFICADORA POR FLUXO OPERACIONAL
SP;Ribeirão Corrente;SP0071145;Ativo;**.***.042/***-**;LA SANTE TORREFACAO DE CAFE LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Ribeirão Preto;SP0073997;Ativo;**.***.561/***-**;REGINA RIROKO HATANO KOGAWA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Ribeirão Preto;SP0073997;Ativo;**.***.561/***-**;REGINA RIROKO HATANO KOGAWA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Ribeirão Preto;SP0079448;Ativo;**.***.931/***-**;OESA COMERCIO E REPRESENTACOES SA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Ribeirão Preto;SP0077500;Ativo;**.***.652/***-**;SGM DO BRASIL, SOLUÇÕES EM SEMENTES DE PASTAGEM LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
ES;Rio Bananal;ES0012270;Ativo;**.***.973/***-**;PRIME AGROINDUSTRIAL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
ES;Rio Bananal;ES0012270;Ativo;**.***.973/***-**;PRIME AGROINDUSTRIAL LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
ES;Rio Bananal;ES0019771;Ativo;**.***.492/***-**;FRACAROLI ARMAZENS GERAIS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
AC;Rio Branco;AC0001570;Ativo;**.***.620/***-**;ICAL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
RS;Rio Grande;RS0043028;Ativo;**.***.708/***-**;CJ INTERNATIONAL BRASIL COMERCIAL AGRÍCOLA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
RS;Rio Grande;RS0044393;Ativo;**.***.921/***-**;ARROZEIRA DA QUINTA ALIMENTOS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
RS;Rio Grande;RS0063444;Ativo;**.***.850/***-**;PECANITA AGROINDUSTRIAL LTDA.;QUALIDADE VEGETAL;BENEFICIADOR;;
RS;Rio Grande;RS0038202;Ativo;**.***.020/***-**;BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Rio Negro;PR0042854;Ativo;**.***.078/***-**;CAFEEIRA QUINTA SÃO JOSÉ ;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
GO;Rio Verde;GO0011266;Ativo;**.***.845/***-**;PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Rio Verde;GO0016314;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Rio Verde;GO0020613;Ativo;**.***.228/***-**;OURO SAFRA S/A;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Rio Verde;GO0018465;Cancelado;**.***.753/***-**;TAGUI BRASIL CEREAIS LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Rio Verde;GO0008591;Ativo;**.***.528/***-**;OLAM AGRICOLA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Rio Verde;GO0006068;Ativo;**.***.790/***-**;cj selecta s.a;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Rio Verde;GO0009954;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
RS;Roca Sales;RS0047104;Ativo;**.***.941/***-**;FUTURE INDUSTRIA DE COUROS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SC;Rodeio;SC0038970;Ativo;**.***.035/***-**;CEREALISTA GADOTTI LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SC;Rodeio;SC0038970;Ativo;**.***.035/***-**;CEREALISTA GADOTTI LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SC;Rodeio;SC0038970;Ativo;**.***.035/***-**;CEREALISTA GADOTTI LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
MT;Rondonópolis;MT0018333;Ativo;**.***.971/***-**;TIMBRO TRADING S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Rondonópolis;MT0016470;Ativo;**.***.616/***-**;CZARNIKOW BRASIL LTDA.;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Rondonópolis;MT0004898;Ativo;**.***.632/***-**;SIPAL INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Rondonópolis;MT0006165;Ativo;**.***.402/***-**;ADM DO BRASIL LTDA;QUALIDADE VEGETAL;ARMAZENADOR;;
MT;Rondonópolis;MT0011010;Ativo;**.***.418/***-**;REI ALIMENTOS INDUSTRIA E COMÉRCIO LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MT;Rondonópolis;MT0020966;Ativo;**.***.401/***-**;Fertimig Fertilizantes Ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Rondonópolis;MT0023272;Ativo;***.***.224-**;CELSO GRIESANG;QUALIDADE VEGETAL;BENEFICIADOR;;
MT;Rondonópolis;MT0009210;Ativo;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Rondonópolis;MT0004120;Cancelado;**.***.398/***-**;COFCO INTERNATIONAL GRAINS LTDA.;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Rondonópolis;MT0016390;Ativo;**.***.699/***-**;FS INDUSTRIA DE BIOCOMBUSTIVEIS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
RS;Rosário do Sul;RS0067393;Ativo;**.***.045/***-**;PORTAL AGROCEREAIS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
GO;Rubiataba;GO0009121;Ativo;**.***.747/***-**;RUBIATABA INDUSTRIAL S.A.;QUALIDADE VEGETAL;PROCESSADOR;;
CE;Russas;CE0016993;Ativo;**.***.491/***-**;ds indústria comércio exportação ltda.;QUALIDADE VEGETAL;BENEFICIADOR;;
CE;Russas;CE0016993;Ativo;**.***.491/***-**;ds indústria comércio exportação ltda.;QUALIDADE VEGETAL;EMBALADOR;;
SP;Cosmópolis;SP0072869;Ativo;**.***.814/***-**;SILAS FILIPOV;QUALIDADE VEGETAL;BENEFICIADOR;;
MS;Costa Rica;MS0017698;Ativo;**.***.771/***-**;AGRO BOLSAO ARMAZENS GERAIS COMERCIO DE CEREAIS IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Cotia;SP0086878;Ativo;**.***.798/***-**;SANTO GRAO COMERCIAL IMPORTADORA E EXPORTADORA DE PRODUTOS ALIMENTICIOS LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SC;Criciúma;SC0014656;Ativo;**.***.162/***-**;NEO GREEN SOLUTIONS COMERCIAL LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Cristais Paulista;SP0095966;Ativo;**.***.415/***-**;FLORADA BRASIL ARMAZÉNS GERAIS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Cristais Paulista;SP0077402;Ativo;**.***.755/***-**;LABAREDA DO CAITITU - COMERCIO DE CAFE LTDA.;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
GO;Cristalina;GO0014214;Ativo;**.***.522/***-**;CRISTALINA ALIMENTOS LTDA.;QUALIDADE VEGETAL;IMPORTADOR;;
GO;Cristalina;GO0010600;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Cristalina;GO0018457;Ativo;**.***.333/***-**;NENA ALIMENTOS EIRELI;QUALIDADE VEGETAL;BENEFICIADOR;;
GO;Cristalina;GO0018457;Ativo;**.***.333/***-**;NENA ALIMENTOS EIRELI;QUALIDADE VEGETAL;EMBALADOR;;
RS;Cruz Alta;RS0040550;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
RS;Cruz Alta;RS0046035;Ativo;**.***.823/***-**;AURELIO GOETTEMS;QUALIDADE VEGETAL;ARMAZENADOR;;
RS;Cruz Alta;RS0040940;Ativo;**.***.102/***-**;TRES TENTOS AGROINDUSTRIAL S/A ;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
AC;Cruzeiro do Sul;AC0001627;Ativo;**.***.256/***-**;AMAZONIA AGROINDUSTRIA LTDA;QUALIDADE VEGETAL;EMBALADOR;;
AC;Cruzeiro do Sul;AC0001643;Ativo;**.***.072/***-**;VASTA INSUMOS DA AMAZONIA;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Cruzmaltina;PR0004391;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Cuiabá;MT0011126;Ativo;**.***.891/***-**;SCHEFFER COMERCIAL ATACADISTA DE PRODUTOS AGRICOLAS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Cuiabá;MT0016560;Ativo;**.***.210/***-**;VITERRA AGRICULTURE BRASIL S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Cuiabá;MT0004375;Ativo;**.***.153/***-**;SAFRAS AGROINDUSTRIA S/A;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Cuiabá;MT0017264;Ativo;**.***.149/***-**;hakan brazil comercial exportadora ltda;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Cuiabá;MT0022624;Ativo;***.***.743-**;Leandro Saraiva de Antonio;QUALIDADE VEGETAL;CONSOLIDADOR;;
MT;Cuiabá;MT0006661;Ativo;**.***.650/***-**;FAIRTRADE COMERCIAL IMPORTADORA E EXPORTADORA LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
MT;Cuiabá;MT0019682;Ativo;**.***.228/***-**;OURO SAFRA S/A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
RO;Cujubim;RO0006610;Ativo;***.***.175-**;SUELI PEREIRA DE ANDRADE;QUALIDADE VEGETAL;EMBALADOR;;
RO;Cujubim;RO0006610;Ativo;***.***.175-**;SUELI PEREIRA DE ANDRADE;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
BA;Curaçá;BA0012793;Ativo;**.***.049/***-**;DOLCEZZA DO BRASIL FRUTICULTURA LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Curitiba;MT0017264;Ativo;**.***.149/***-**;hakan brazil comercial exportadora ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Curitiba;PR0017175;Ativo;**.***.275/***-**;CAVALCA TRADING E LOGISTICA S/A;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Curitiba;PR0040053;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Curitiba;PR0043494;Ativo;**.***.336/***-**;GRÃOS BRASIL COMERCIO DE IMPORTAÇÃO E EXPORTAÇÃO DE CEREAIS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Curitiba;PR0043419;Ativo;**.***.033/***-**;KLM BRASIL ALIMENTOS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Curitiba;PR0037877;Ativo;**.***.925/***-**;QUEIROZ AGRO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Curitiba;PR0039349;Ativo;**.***.822/***-**;AUREAPHI COMMODITIES E SERVICOS DE EXPORTACAO LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Curitiba;PR0031950;Ativo;**.***.983/***-**;AFORT TRADING COMERCIO E SERVIÇOS DE TERCEIROS LTDA;QUALIDADE VEGETAL;CONSOLIDADOR;;
PR;Curitiba;PR0019380;Ativo;**.***.459/***-**;PAN COMERCIAL EXPORTADORA, IMPORTADORA E MINERADORA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Curitiba;PR0019380;Ativo;**.***.459/***-**;PAN COMERCIAL EXPORTADORA, IMPORTADORA E MINERADORA LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Curitiba;PR0035165;Ativo;**.***.506/***-**;VERDE AGRÍCOLA WM LTDA.;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Curitiba;PR0020532;Ativo;**.***.334/***-**;BELARINA ALIMENTOS S.A.;QUALIDADE VEGETAL;EMBALADOR;;
PR;Curitiba;PR0034541;Ativo;**.***.215/***-**;IZEPAO COMERCIO DE CAFE LTDA;QUALIDADE VEGETAL;EMBALADOR;;
PR;Curitiba;PR0002623;Ativo;**.***.971/***-**;TIMBRO TRADING S.A.;QUALIDADE VEGETAL;IMPORTADOR;;
PR;Curitiba;PR0014419;Ativo;**.***.274/***-**;GRANELES BRASIL COMERCIAL IMPORTADORA EXPORTADORA AGRICOLA S.A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Curitiba;PR0045632;Ativo;**.***.515/***-**;RS TRADE COMERCIAL EXPORTADORA AGRICOLA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Curitiba;PR0036455;Ativo;**.***.356/***-**;RS TRADE COMERCIAL EXPORTADORA AGRICOLA LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PI;Currais;PI0002909;Ativo;**.***.101/***-**;Bunge Alimentos S/A;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Martins Soares;MG0018139;Ativo;**.***.272/***-**;FAZENDAS KLEM LTDA ME;QUALIDADE VEGETAL;BENEFICIADOR;;
SC;Massaranduba;SC0015563;Ativo;**.***.137/***-**;COOPERATIVA JURITI;QUALIDADE VEGETAL;EMBALADOR;;
SP;Matão;SP0091685;Ativo;**.***.751/***-**;CAFÉ ARMAZEM DE MINAS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Matão;SP0005649;Ativo;**.***.373/***-**;LOUIS DREYFUS COMPANY SUCOS S.A.;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Matão;SP0105767;Ativo;**.***.297/***-**;CAFE MATAO INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Matipó;MG0025518;Ativo;**.***.682/***-**;DISTRIBUIDORA IRMÃOS GARDINGO IND. COM E TRANSPORTE LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Matipó;MG0031119;Ativo;**.***.224/***-**;GM ALIMENTOS ME ;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MT;Matupá;MT0004340;Ativo;**.***.254/***-**;AMAGGI EXPORTACAO E IMPORTACAO LTDA;QUALIDADE VEGETAL;PRODUTOR;;
MT;Matupá;MT0006874;Ativo;**.***.181/***-**;ALIANÇA AGRÍCOLA DO CERRADO S.A. ;QUALIDADE VEGETAL;EXPORTADOR;;
SC;Meleiro;SC0017884;Ativo;**.***.374/***-**;CELIA ALIMENTOS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SC;Meleiro;SC0006165;Ativo;**.***.525/***-**;CLAVESC - EMPRESA DE CLASSIFICACAO DE PRODUTOS DE ORIGEM VEGETAL LTDA - ME;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;PRESTADORA DE SERVIÇO
PR;Mercedes;PR0022713;Ativo;**.***.264/***-**;INTEGRADA COOPERATIVA AGROINDUSTRIAL;QUALIDADE VEGETAL;EXPORTADOR;;
RO;Ouro Preto do Oeste;RO0005681;Ativo;***.***.225-**;SEBASTIAO LUIZ CORREIA;QUALIDADE VEGETAL;EMBALADOR;;
SC;Ouro Verde;SC0003050;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Ouro Verde do Oeste;PR0007307;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Padre Paraíso;MG0039861;Ativo;**.***.459/***-**;INDUSTRIA E COMERCIO NASCIMENTO LTDA-ME;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Paiçandu;PR0023663;Ativo;**.***.841/***-**;COMPANHIA SULAMERICANA DE DISTRIBUICAO;QUALIDADE VEGETAL;IMPORTADOR;;
PR;Paiçandu;PR0032760;Ativo;**.***.740/***-**;M.F CAFÉ INDÚSTRIA , COMERCIO E ARMAZENAGEM LTDA ;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Paiçandu;PR0032760;Ativo;**.***.740/***-**;M.F CAFÉ INDÚSTRIA , COMERCIO E ARMAZENAGEM LTDA ;QUALIDADE VEGETAL;EMBALADOR;;
SP;Palestina;SP0102113;Ativo;**.***.975/***-**;COLOMBO AGROINDUSTRIA S.A;QUALIDADE VEGETAL;EXPORTADOR;;
SC;Palhoça;SC0036854;Ativo;**.***.916/***-**;NEW INDUSTRIA E COMERCIO ATACADISTA DE ALIMENTOS LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
TO;Palmas;TO0008710;Ativo;**.***.252/***-**;NOVAAGRI INFRA-ESTRUTURA DE ARMAZENAGEM E ESCOAMENTO AGRICOLA S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
TO;Palmas;TO0005983;Ativo;**.***.714/***-**;Nutrade Comercial Exportadora Ltda;QUALIDADE VEGETAL;EXPORTADOR;;
TO;Palmas;TO0010596;Ativo;**.***.712/***-**;LARANJAL FABRICAÇÃO DE SUCOS NATURAIS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
TO;Palmas;TO0010170;Ativo;**.***.546/***-**;Comercial de Grãos Inovador Ltda;QUALIDADE VEGETAL;EMBALADOR;;
RS;Palmeira das Missões;RS0036897;Cancelado;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Palmital;SP0043281;Ativo;***.***.874-**;SEBASTIAO SILVIO PANOBIANCO;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Palmital;SP0096490;Ativo;**.***.277/***-**;BIOFAZ JUICE LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Palmital;SP0048720;Ativo;**.***.450/***-**;Cocamar cooperativa agroindustrial;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Pará de Minas;MG0046469;Ativo;**.***.052/***-**;JASBFOODS AGROINDÚSTRIA & ARMAZÉNS GERAIS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Paracatu;MG0023671;Ativo;**.***.823/***-**;san fruit agricola e exportação de frutas ltda.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PA;Paragominas;PA0008885;Ativo;**.***.621/***-**;Portal Agro Comércio e Serviços Ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
PA;Paragominas;PA0003913;Ativo;**.***.338/***-**;Cofco International Brasil S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PA;Paragominas;PA0008095;Ativo;**.***.125/***-**;Cooperativa Agroindustrial Paragominense COOPERNORTE;QUALIDADE VEGETAL;BENEFICIADOR;;
PA;Paragominas;PA0010049;Ativo;**.***.177/***-**;Arbaza Alimentos Ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Paraíso;SP0095222;Ativo;**.***.514/***-**;TIETE AGROINDUSTRIAL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paraíso do Norte;PR0021423;Ativo;**.***.758/***-**;CURIONI & BIOLLO LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
TO;Paraíso do Tocantins;TO0011878;Ativo;**.***.057/***-**;Jalapão Indústria Comércio e Distribuição de Alimentos Ltda;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Paraisópolis;MG0049450;Ativo;**.***.737/***-**;ZALAZ INDUSTRIA E COMERCIO DE BEBIDAS LTDA - ME;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PR;Paranaguá;PR0015679;Ativo;**.***.632/***-**;sipal industria e comercio ltda;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0034916;Ativo;**.***.326/***-**;CAP ADMINISTRAÇÃO PORTUÁRIA SPE S/A;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0020605;Ativo;**.***.809/***-**;CELENA ALIMENTOS S/A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Paranaguá;PR0050318;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S/A;QUALIDADE VEGETAL;ARMAZEM PORTUARIO;;
PR;Paranaguá;PR0018783;Ativo;**.***.861/***-**;INTERALLI ADMINISTRACAO E PARTICIP SA  ;QUALIDADE VEGETAL;ARMAZEM PORTUARIO;;
PR;Paranaguá;PR0028355;Ativo;**.***.705/***-**;CCIC DO BRASIL INSPECTIONS CERTIFICAÇÕES LTDA;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;PRESTADORA DE SERVIÇO
PR;Paranaguá;PR0026271;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A ;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0015873;Ativo;**.***.138/***-**;ARMAZENS GERAIS TERMINAL LTDA;QUALIDADE VEGETAL;ARMAZENADOR;;
PR;Paranaguá;PR0039667;Ativo;**.***.380/***-**;SEMPRE VERDE IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0003310;Ativo;**.***.595/***-**;SANDELEH ALIMENTOS LTDA.;QUALIDADE VEGETAL;IMPORTADOR;;
PR;Paranaguá;PR0051128;Ativo;**.***.426/***-**;BTG PACTUAL COMMODITIES SERTRADING S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0051128;Ativo;**.***.426/***-**;BTG PACTUAL COMMODITIES SERTRADING S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Paranaguá;PR0003123;Ativo;**.***.025/***-**;RRMG SUPERVISÃO DE EMBARQUES E DESCARGAS LTDA;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;PRESTADORA DE SERVIÇO
