UF;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_REGISTRO;CPF_CNPJ;RAZAO_SOCIAL;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO;CARACTERISTICA_ADICIONAL
BA;Itiruçu;BA0018490;Ativo;**.***.604/***-**;VALE BAHIA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Itu;SP0076015;Ativo;**.***.202/***-**;VKBRMALTS IMPORTADORA E DISTRIBUIDORA LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
BA;Ituaçu;BA0021750;Ativo;**.***.557/***-**;NORMA SUELI AGUIAR;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Ituiutaba;MG0039390;Ativo;**.***.612/***-**;INDUSTRIA BRUNELLI LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
GO;Itumbiara;GO0009970;Ativo;**.***.671/***-**;Caramuru Alimentos S/A;QUALIDADE VEGETAL;COMERCIANTE (DISTRIBUIDOR);;
SC;Ituporanga;SC0034487;Ativo;**.***.055/***-**;CEREALISTA HILLESHEIM LTDA - ME;QUALIDADE VEGETAL;EMBALADOR;;
SC;Ituporanga;SC0028215;Ativo;**.***.252/***-**;CEBOLAO ATACADISTA DE CEREAIS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SC;Ituporanga;SC0033855;Ativo;**.***.695/***-**;CEREALISTA CATARINA LTDA EPP;QUALIDADE VEGETAL;BENEFICIADOR;;
SC;Ituporanga;SC0033898;Ativo;**.***.598/***-**;CEBOLAS SCHÄFER ;QUALIDADE VEGETAL;BENEFICIADOR;;
SC;Ituporanga;SC0034096;Ativo;**.***.999/***-**;FC MAY CEREALISTA LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SC;Ituporanga;SC0036285;Ativo;**.***.186/***-**;COMERCIO DE CEBOLAS PEROLAS DO VALE LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Iturama;MG0045403;Ativo;**.***.415/***-**;S.A. USINA CORURIPE AÇÚCAR E ÁLCOOL;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MS;Ivinhema;MS0022357;Ativo;**.***.450/***-**;COCAMAR COOPERATIVA AGROINDUSTRIAL;QUALIDADE VEGETAL;ARMAZENADOR;;
PE;Jaboatão dos Guararapes;PE0002747;Ativo;**.***.562/***-**;JOSAPAR JOAQUIM OLIVEIRA S.A PARTICIPAÇÕES;QUALIDADE VEGETAL;COMERCIANTE (DISTRIBUIDOR);;
PE;Jaboatão dos Guararapes;PE0010537;Ativo;**.***.841/***-**;TULLA CAFE LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PE;Jaboatão dos Guararapes;PE0003867;Ativo;**.***.462/***-**;ZORI DISTRIBUIDORA DE CALCADOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Jaboticabal;SP0065617;Ativo;**.***.656/***-**;Sementes Esperança Comércio, Importação e Exportação Ltda.;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Jaboticabal;SP0065617;Ativo;**.***.656/***-**;Sementes Esperança Comércio, Importação e Exportação Ltda.;QUALIDADE VEGETAL;BENEFICIADOR E EXPORTADOR;;
SC;Jacinto Machado;SC0022870;Ativo;**.***.947/***-**;COOPERATIVA AGROINDUSTRIAL COOPERJA;QUALIDADE VEGETAL;PROCESSADOR;;
SC;Jacinto Machado;SC0030678;Ativo;**.***.947/***-**;COOPERATIVA AGROINDUSTRIAL COOPERJA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Jacutinga;MG0032948;Ativo;**.***.416/***-**;TADEU DA SILVA ALMEIDA;QUALIDADE VEGETAL;PROCESSADOR;;
BA;Jaguaquara;BA0020320;Ativo;**.***.829/***-**;COOPERATIVA DOS PRODUTORES RURAIS DE JAGUAQUARA-COOPJAGUAR;QUALIDADE VEGETAL;CONSOLIDADOR;;
ES;Jaguaré;ES0019410;Ativo;**.***.154/***-**; CAFE CALVI DO BRASIL LTDA;QUALIDADE VEGETAL;EMBALADOR;;
PR;Janiópolis;PR0007331;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Japira;PR0043516;Ativo;***.***.966-**;CLAUDETE VALLE PIRES;QUALIDADE VEGETAL;PROCESSADOR;;
SC;Jaraguá do Sul;SC0041815;Ativo;**.***.094/***-**;3AMC COMERCIAL LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SC;Jaraguá do Sul;SC0009091;Ativo;**.***.931/***-**;oesa comercio e representação s.a;QUALIDADE VEGETAL;COMERCIANTE (DISTRIBUIDOR);;
SC;Jaraguá do Sul;SC0042005;Ativo;**.***.062/***-**;SELETO COMERCIAL IMPORTADORA E EXPORTADORA LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SC;Jaraguá do Sul;SC0037206;Ativo;**.***.277/***-**;SKM INDUSTRIA DE ALIMENTOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SC;Jaraguá do Sul;SC0014273;Ativo;**.***.964/***-**;CEREALISTA WILLE LTDA.;QUALIDADE VEGETAL;BENEFICIADOR;PRODUTO VEGETAL PADRONIZADO;
